Proteins,Degree,Closeness,Betweenness,Eigenvector,Harmonic,Hub_Score,Authority_Score,Page_Rank,Power_Centrality
ENSP00000252575,110.000,0.247,248358.469,0.008,0.257,0.008,0.008,0.000,0.000
ENSP00000252593,202.000,0.251,482525.442,0.009,0.264,0.009,0.009,0.000,0.000
ENSP00000252595,86.000,0.233,153.636,0.004,0.242,0.004,0.004,0.000,0.000
ENSP00000252597,190.000,0.250,80106.533,0.008,0.262,0.008,0.008,0.000,0.000
ENSP00000252602,60.000,0.229,319.988,0.003,0.237,0.003,0.003,0.000,0.000
ENSP00000252622,90.000,0.230,25334.000,0.004,0.239,0.004,0.004,0.000,0.000
ENSP00000252655,110.000,0.236,5348.999,0.004,0.245,0.004,0.004,0.000,0.000
ENSP00000252674,84.000,0.234,14.902,0.004,0.242,0.004,0.004,0.000,0.000
ENSP00000252677,118.000,0.236,31878.131,0.005,0.245,0.005,0.005,0.000,0.000
ENSP00000252699,78.000,0.232,0.000,0.004,0.240,0.004,0.004,0.000,0.000
ENSP00000252711,144.000,0.238,4265.745,0.005,0.248,0.005,0.005,0.000,0.000
ENSP00000252723,190.000,0.243,10343.020,0.006,0.255,0.006,0.006,0.000,0.000
ENSP00000252804,90.000,0.236,31194.144,0.004,0.245,0.004,0.004,0.000,0.000
ENSP00000252809,136.000,0.241,55332.105,0.007,0.252,0.007,0.007,0.000,0.000
ENSP00000252818,98.000,0.244,42994.749,0.004,0.252,0.004,0.004,0.000,0.000
ENSP00000252825,86.000,0.234,5137.596,0.004,0.243,0.004,0.004,0.000,0.000
ENSP00000252826,122.000,0.241,165718.453,0.008,0.252,0.008,0.008,0.000,0.000
ENSP00000252891,22.000,0.215,1864.977,0.000,0.220,0.000,0.000,0.000,0.000
ENSP00000252934,86.000,0.235,58545.923,0.004,0.244,0.004,0.004,0.000,0.000
ENSP00000252951,140.000,0.238,5192.524,0.007,0.248,0.007,0.007,0.000,0.000
ENSP00000252971,154.000,0.248,77231.359,0.005,0.258,0.005,0.005,0.000,0.000
ENSP00000252992,130.000,0.237,16249.934,0.004,0.247,0.004,0.004,0.000,0.000
ENSP00000252996,84.000,0.233,54451.747,0.004,0.241,0.004,0.004,0.000,0.000
ENSP00000252997,228.000,0.253,130263.660,0.006,0.266,0.006,0.006,0.000,0.000
ENSP00000252999,86.000,0.235,62652.723,0.004,0.243,0.004,0.004,0.000,0.000
ENSP00000253023,18.000,0.219,163.910,0.000,0.224,0.000,0.000,0.000,0.000
ENSP00000253024,102.000,0.234,12694.001,0.004,0.243,0.004,0.004,0.000,0.000
